PERMNO,date,TICKER,COMNAM,RET
66800,20080304,AIG,AMERICAN INTERNATIONAL GROUP INC,-0.018419
66800,20080305,AIG,AMERICAN INTERNATIONAL GROUP INC,-0.022256
66800,20080306,AIG,AMERICAN INTERNATIONAL GROUP INC,-0.038781
66800,20080307,AIG,AMERICAN INTERNATIONAL GROUP INC,0
66800,20080310,AIG,AMERICAN INTERNATIONAL GROUP INC,-0.021688
66800,20080311,AIG,AMERICAN INTERNATIONAL GROUP INC,0.048868
66800,20080312,AIG,AMERICAN INTERNATIONAL GROUP INC,-0.007955
66800,20080313,AIG,AMERICAN INTERNATIONAL GROUP INC,-0.026804
66800,20080314,AIG,AMERICAN INTERNATIONAL GROUP INC,-0.030603
66800,20080317,AIG,AMERICAN INTERNATIONAL GROUP INC,-0.033511
66800,20080318,AIG,AMERICAN INTERNATIONAL GROUP INC,0.097236
66800,20080319,AIG,AMERICAN INTERNATIONAL GROUP INC,-0.034119
66800,20080320,AIG,AMERICAN INTERNATIONAL GROUP INC,0.067091
66800,20080324,AIG,AMERICAN INTERNATIONAL GROUP INC,0.024441
66800,20080325,AIG,AMERICAN INTERNATIONAL GROUP INC,-0.006506
66800,20080326,AIG,AMERICAN INTERNATIONAL GROUP INC,-0.038201
66800,20080327,AIG,AMERICAN INTERNATIONAL GROUP INC,-0.013618
66800,20080328,AIG,AMERICAN INTERNATIONAL GROUP INC,-0.015186
66800,20080331,AIG,AMERICAN INTERNATIONAL GROUP INC,0.010514
70519,20080102,C,CITIGROUP INC,-0.017663
70519,20080103,C,CITIGROUP INC,0.000346
70519,20080104,C,CITIGROUP INC,-0.023851
70519,20080107,C,CITIGROUP INC,0.000708
70519,20080108,C,CITIGROUP INC,-0.039632
70519,20080109,C,CITIGROUP INC,0.012896
70519,20080110,C,CITIGROUP INC,0.022554
70519,20080111,C,CITIGROUP INC,0.016008
70519,20080114,C,CITIGROUP INC,0.017507
70519,20080115,C,CITIGROUP INC,-0.072952
70519,20080116,C,CITIGROUP INC,-0.025984
70519,20080117,C,CITIGROUP INC,-0.048781
70519,20080118,C,CITIGROUP INC,-0.020433
70519,20080122,C,CITIGROUP INC,-0.002041
70519,20080123,C,CITIGROUP INC,0.080323
70519,20080124,C,CITIGROUP INC,0.036798
70519,20080125,C,CITIGROUP INC,-0.025247
70519,20080128,C,CITIGROUP INC,0.037913
70519,20080129,C,CITIGROUP INC,0.009403
70519,20080130,C,CITIGROUP INC,-0.001078
70519,20080131,C,CITIGROUP INC,0.021883
70519,20080201,C,CITIGROUP INC,0.053958
70519,20080204,C,CITIGROUP INC,-0.01583
70519,20080205,C,CITIGROUP INC,-0.074264
70519,20080206,C,CITIGROUP INC,-0.004806
70519,20080207,C,CITIGROUP INC,-0.008172
70519,20080208,C,CITIGROUP INC,-0.025094
70519,20080211,C,CITIGROUP INC,-0.008452
70519,20080212,C,CITIGROUP INC,0.015498
70519,20080213,C,CITIGROUP INC,0.00496
70519,20080214,C,CITIGROUP INC,-0.022779
70519,20080215,C,CITIGROUP INC,-0.010101
70519,20080219,C,CITIGROUP INC,-0.006279
70519,20080220,C,CITIGROUP INC,0.006714
70519,20080221,C,CITIGROUP INC,-0.017262
70519,20080222,C,CITIGROUP INC,0.002794
70519,20080225,C,CITIGROUP INC,-0.015127
70519,20080226,C,CITIGROUP INC,0.008488
70519,20080227,C,CITIGROUP INC,0.030862
70519,20080228,C,CITIGROUP INC,-0.027605
70519,20080229,C,CITIGROUP INC,-0.051979
70519,20080303,C,CITIGROUP INC,-0.026149
70519,20080304,C,CITIGROUP INC,-0.042876
70519,20080305,C,CITIGROUP INC,0.002262
70519,20080306,C,CITIGROUP INC,-0.044244
70519,20080307,C,CITIGROUP INC,-0.012282
70519,20080310,C,CITIGROUP INC,-0.058345
70519,20080311,C,CITIGROUP INC,0.091417
70519,20080312,C,CITIGROUP INC,-0.013029
70519,20080313,C,CITIGROUP INC,-0.006601
70519,20080314,C,CITIGROUP INC,-0.061229
70519,20080317,C,CITIGROUP INC,-0.05864
70519,20080318,C,CITIGROUP INC,0.112245
70519,20080319,C,CITIGROUP INC,-0.014486
70519,20080320,C,CITIGROUP INC,0.102401
70519,20080324,C,CITIGROUP INC,0.034222
70519,20080325,C,CITIGROUP INC,0.006446
70519,20080326,C,CITIGROUP INC,-0.058497
70519,20080327,C,CITIGROUP INC,-0.011791
70519,20080328,C,CITIGROUP INC,-0.044057
70519,20080331,C,CITIGROUP INC,0.028325
76076,20080102,CSCO,CISCO SYSTEMS INC,-0.019575
76076,20080103,CSCO,CISCO SYSTEMS INC,0.007913
76076,20080104,CSCO,CISCO SYSTEMS INC,-0.023551
76076,20080107,CSCO,CISCO SYSTEMS INC,0.000383
76076,20080108,CSCO,CISCO SYSTEMS INC,-0.026789
76076,20080109,CSCO,CISCO SYSTEMS INC,0.031852
76076,20080110,CSCO,CISCO SYSTEMS INC,0
76076,20080111,CSCO,CISCO SYSTEMS INC,-0.014101
76076,20080114,CSCO,CISCO SYSTEMS INC,0.016235
76076,20080115,CSCO,CISCO SYSTEMS INC,-0.016736
76076,20080116,CSCO,CISCO SYSTEMS INC,-0.027079
76076,20080117,CSCO,CISCO SYSTEMS INC,-0.032604
76076,20080118,CSCO,CISCO SYSTEMS INC,-0.001233
76076,20080122,CSCO,CISCO SYSTEMS INC,-0.036214
76076,20080123,CSCO,CISCO SYSTEMS INC,0.026046
76076,20080124,CSCO,CISCO SYSTEMS INC,0.044944
76076,20080125,CSCO,CISCO SYSTEMS INC,-0.036241
76076,20080128,CSCO,CISCO SYSTEMS INC,-0.004132
76076,20080129,CSCO,CISCO SYSTEMS INC,-0.00166
76076,20080130,CSCO,CISCO SYSTEMS INC,0.012469
76076,20080131,CSCO,CISCO SYSTEMS INC,0.005747
76076,20080201,CSCO,CISCO SYSTEMS INC,0.017959
76076,20080204,CSCO,CISCO SYSTEMS INC,-0.044908
76076,20080205,CSCO,CISCO SYSTEMS INC,-0.02351
76076,20080206,CSCO,CISCO SYSTEMS INC,-0.007739
76076,20080207,CSCO,CISCO SYSTEMS INC,0.012998
76076,20080208,CSCO,CISCO SYSTEMS INC,0.006844
76076,20080211,CSCO,CISCO SYSTEMS INC,-0.00085
76076,20080212,CSCO,CISCO SYSTEMS INC,-0.003827
76076,20080213,CSCO,CISCO SYSTEMS INC,0.026889
76076,20080214,CSCO,CISCO SYSTEMS INC,-0.022028
76076,20080215,CSCO,CISCO SYSTEMS INC,-0.00986
76076,20080219,CSCO,CISCO SYSTEMS INC,-0.017942
76076,20080220,CSCO,CISCO SYSTEMS INC,0.013986
76076,20080221,CSCO,CISCO SYSTEMS INC,-0.000431
76076,20080222,CSCO,CISCO SYSTEMS INC,0.01768
76076,20080225,CSCO,CISCO SYSTEMS INC,0.008475
76076,20080226,CSCO,CISCO SYSTEMS INC,0.011345
76076,20080227,CSCO,CISCO SYSTEMS INC,0.03656
76076,20080228,CSCO,CISCO SYSTEMS INC,-0.011623
76076,20080229,CSCO,CISCO SYSTEMS INC,-0.010949
76076,20080303,CSCO,CISCO SYSTEMS INC,0.00041
76076,20080304,CSCO,CISCO SYSTEMS INC,-0.004508
76076,20080305,CSCO,CISCO SYSTEMS INC,-0.000819
76076,20080306,CSCO,CISCO SYSTEMS INC,-0.013601
76076,20080307,CSCO,CISCO SYSTEMS INC,0.007101
76076,20080310,CSCO,CISCO SYSTEMS INC,-0.004977
76076,20080311,CSCO,CISCO SYSTEMS INC,0.048353
76076,20080312,CSCO,CISCO SYSTEMS INC,-0.000398
76076,20080313,CSCO,CISCO SYSTEMS INC,-0.007558
76076,20080314,CSCO,CISCO SYSTEMS INC,-0.025251
76076,20080317,CSCO,CISCO SYSTEMS INC,-0.001234
76076,20080318,CSCO,CISCO SYSTEMS INC,0.053108
76076,20080319,CSCO,CISCO SYSTEMS INC,-0.043393
76076,20080320,CSCO,CISCO SYSTEMS INC,0.01226
76076,20080324,CSCO,CISCO SYSTEMS INC,0.035123
76076,20080325,CSCO,CISCO SYSTEMS INC,0.00429
76076,20080326,CSCO,CISCO SYSTEMS INC,-0.03767
76076,20080327,CSCO,CISCO SYSTEMS INC,-0.024213
76076,20080328,CSCO,CISCO SYSTEMS INC,-0.004136
76076,20080331,CSCO,CISCO SYSTEMS INC,0.000415
77178,20080102,QCOM,QUALCOMM INC,-0.024396
77178,20080103,QCOM,QUALCOMM INC,-0.012764
77178,20080104,QCOM,QUALCOMM INC,-0.022955
77178,20080107,QCOM,QUALCOMM INC,-0.015663
77178,20080108,QCOM,QUALCOMM INC,-0.01262
77178,20080109,QCOM,QUALCOMM INC,0.050014
77178,20080110,QCOM,QUALCOMM INC,0.005292
77178,20080111,QCOM,QUALCOMM INC,0.016847
77178,20080114,QCOM,QUALCOMM INC,0.035465
77178,20080115,QCOM,QUALCOMM INC,-0.01625
77178,20080116,QCOM,QUALCOMM INC,0.015502
77178,20080117,QCOM,QUALCOMM INC,-0.022522
77178,20080118,QCOM,QUALCOMM INC,-0.018177
77178,20080122,QCOM,QUALCOMM INC,-0.037288
77178,20080123,QCOM,QUALCOMM INC,-0.007855
77178,20080124,QCOM,QUALCOMM INC,0.103194
